Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
241;17900156724;"Latvian Journal of Physics and Technical Sciences";journal;"08688257";0,147;Q4;8;44;121;701;39;121;0,33;15,93;Germany;"De Gruyter Open";"2008-ongoing";"Engineering (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q4)"
242;29205;"Physics in Perspective";journal;"14226960, 14226944";0,147;Q4;13;15;49;940;14;34;0,57;62,67;Switzerland;"Birkhauser Verlag";"1999-ongoing";"History (Q2); Physics and Astronomy (miscellaneous) (Q4)"
243;19700173016;"Bulletin of the Lebedev Physics Institute";journal;"10683356, 1934838X";0,144;Q4;10;91;244;959;77;244;0,27;10,54;United States;"Springer Science + Business Media";"2009-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
244;15400155600;"Il Nuovo cimento della Societá italiana di fisica. C";journal;"11241896";0,144;Q4;23;2;440;9;83;437;0,18;4,50;Italy;"Zanichelli Editore SpA";"1978-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
245;67235;"Physicist";journal;"10363831";0,143;Q4;4;12;27;21;2;17;0,00;1,75;Australia;"Australian Institute of Physics";"1999-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
246;21100455416;"Proceedings of 2015 International Conference on Fluid Power and Mechatronics, FPM 2015";conference and proceedings;"00002015";0,140;-;5;0;269;0;101;265;0,00;0,00;China;"";"2015";"Physics and Astronomy (miscellaneous)"
247;19400158438;"Annals of the University of Craiova, Physics";journal;"12236039";0,137;Q4;5;9;26;163;7;26;0,35;18,11;Romania;"University of Craiova";"2009-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
248;21100410100;"Applied Physics";journal;"19960948";0,133;Q4;6;110;207;1476;22;207;0,08;13,42;Russian Federation;"Federal Informational-Analytical Center of the Defense Industry";"2011-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
249;65449;"Chung Cheng Ling Hsueh Pao/Journal of Chung Cheng Institute of Technology";journal;"02556030";0,125;Q4;5;10;74;212;3;74;0,04;21,20;China;"Chung Cheng Institute of Technology";"2001-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
250;4800153103;"Indian Journal of Radio and Space Physics";journal;"03678393";0,125;Q4;19;3;40;129;6;40;0,17;43,00;India;"Council of Scientific and Industrial Research";"1996-ongoing";"Earth and Planetary Sciences (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
251;27480;"Czechoslovak Journal of Physics";journal;"00114626";0,124;Q4;34;0;1;0;0;1;0,00;0,00;United States;"Kluwer Academic/Plenum Publishers";"1952-2006, 2016-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
252;21100786456;"Philosophical Magazine";journal;"00318086";0,124;Q4;0;0;1;0;0;1;0,00;0,00;United Kingdom;"Taylor and Francis Ltd.";"1970-1977";"Engineering (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q4)"
253;17700156005;"WSEAS Transactions on Heat and Mass Transfer";journal;"17905044";0,124;Q4;8;0;3;0;1;3;0,00;0,00;Greece;"World Scientific and Engineering Academy and Society (WSEAS) Press";"2009-2015 (cancelled)";"Physics and Astronomy (miscellaneous) (Q4)"
254;21100264813;"Pakistan Journal of Scientific and Industrial Research Series A: Physical Sciences";journal;"22216413, 22232559";0,119;Q4;3;28;75;694;3;75;0,02;24,79;Pakistan;"PCSIR-Scientific Information Centre";"2011-ongoing";"Materials Science (miscellaneous) (Q4); Mathematical Physics (Q4); Physical and Theoretical Chemistry (Q4); Physics and Astronomy (miscellaneous) (Q4)"
255;19700181228;"Physics Research International";journal;"20902220, 20902239";0,119;Q4;10;0;25;0;10;25;0,69;0,00;Egypt;"Hindawi Publishing Corporation";"2010-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
256;21100874216;"Revista Mexicana de Fisica E";journal;"18703542";0,115;Q4;8;7;40;230;9;40;0,17;32,86;Mexico;"Sociedad Mexicana de Fisica";"2006-ongoing";"Education (Q4); Physics and Astronomy (miscellaneous) (Q4)"
257;23521;"Ecletica Quimica";journal;"01004670";0,112;Q4;17;31;41;727;2;39;0,06;23,45;Brazil;"Fundacao Editora UNESP";"1996-ongoing";"Chemistry (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
258;21100818731;"GeoRich 2017 - 4th International ACM Workshop on Managing and Mining Enriched Geo-Spatial Data, in Conjunction with SIGMOD 2017";conference and proceedings;"00002017";0,112;-;2;0;10;0;9;8;1,13;0,00;United States;"";"2017";"Computer Science Applications; Nuclear and High Energy Physics; Physics and Astronomy (miscellaneous); Space and Planetary Science; Spectroscopy"
259;19600161904;"NATO Science for Peace and Security Series B: Physics and Biophysics";book series;"18746500";0,108;Q4;12;83;232;1651;27;155;0,51;19,89;Germany;"Springer Verlag";"2007-ongoing";"Biophysics (Q4); Biotechnology (Q4); Electrical and Electronic Engineering (Q4); Physics and Astronomy (miscellaneous) (Q4)"
260;19600162022;"Physical and Chemical News";journal;"11143800";0,108;Q4;9;0;3;0;0;3;0,00;0,00;Morocco;"Best Edition";"2009-2015";"Chemistry (miscellaneous) (Q4); Mathematical Physics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
261;29201;"Physics Essays";journal;"08361398";0,107;Q4;14;0;257;0;25;252;0,14;0,00;Canada;"Physics Essays Publication";"1996-2017 (cancelled)";"Physics and Astronomy (miscellaneous) (Q4)"
262;29245;"Physics World";trade journal;"09538585";0,105;Q4;39;55;204;0;7;204;0,04;0,00;United Kingdom;"Institute of Physics";"1994-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
263;21100211750;"African Review of Physics";journal;"22236589";0,104;Q4;7;21;67;470;7;66;0,10;22,38;Ghana;"African Physical Society";"2012-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
264;21100258629;"International Journal of Science, Mathematics and Technology Learning";journal;"2327915X, 23277971";0,104;Q4;2;8;29;327;3;29;0,17;40,88;United States;"Common Ground Research Networks";"2013-ongoing";"Education (Q4); Engineering (miscellaneous) (Q4); Physics and Astronomy (miscellaneous) (Q4)"
265;28059;"Institute of Physics Conference Series";conference and proceedings;"00002003, 00001981, 00002005, 00001992, 00001991";0,103;-;9;0;7;0;0;7;0,00;0,00;United Kingdom;"";"1981, 1991-1992, 2003-2005";"Physics and Astronomy (miscellaneous)"
266;21100370735;"Theoretical and Mathematical Physics (United States)";book series;"18645887, 18645879";0,101;Q4;7;9;37;280;0;16;0,00;31,11;United States;"Springer Science + Business Media";"2015-ongoing";"Applied Mathematics (Q4); Mathematical Physics (Q4); Physics and Astronomy (miscellaneous) (Q4)"
267;5000158508;"Springer Tracts in Modern Physics";book series;"00813869, 16150430";0,100;Q4;11;67;160;2817;9;56;0,45;42,04;Germany;"Springer Verlag";"2005-2010, 2015-ongoing";"Physics and Astronomy (miscellaneous) (Q4)"
